Qty;Value;Device;Package;Parts;Description;DESCRIPTION;HEIGHT;MANUFACTURER_NAME;MANUFACTURER_PART_NUMBER;MOUSER_PART_NUMBER;MOUSER_PRICE-STOCK;POPULARITY;SPICEPREFIX
1;;DPDT.LUGS;DPDT.LUGS;MODE;DPDT Switches;;;;;;;;
3;;PT2399;SO16;IC4, IC5, IC7;Delay;;;;;;;;
1;;TRIMMER;TRIM1;T1;Trimpots;;;;;;;;
3;100R;R-US_R0805;R0805;R8, R19, R30;RESISTOR, American symbol;;;;;;;85;R
4;100k;R-US_R0805;R0805;R2, R3, R5, R6;RESISTOR, American symbol;;;;;;;85;R
18;100n;C-EUC0805;C0805;C1, C3, C8, C9, C10, C13, C14, C21, C22, C23, C26, C27, C34, C35, C36, C39, C40, C51;CAPACITOR, European symbol;;;;;;;88;C
2;100p;C-EUC0805;C0805;C44, C46;CAPACITOR, European symbol;;;;;;;88;C
1;100u;CPOL-USE2.5-6;E2,5-6;C48;POLARIZED CAPACITOR, American symbol;;;;;;;14;C
20;10k;R-US_R0805;R0805;R11, R12, R13, R14, R15, R16, R22, R23, R24, R25, R26, R27, R33, R34, R35, R36, R37, R38, R52, R53;RESISTOR, American symbol;;;;;;;85;R
3;10n;C-EUC0805;C0805;C16, C29, C42;CAPACITOR, European symbol;;;;;;;88;C
6;10u;C-EUC0805;C0805;C52, C53, C54, C55, C56, C57;CAPACITOR, European symbol;;;;;;;88;C
4;1M;R-US_R0805;R0805;R1, R4, R45, R51;RESISTOR, American symbol;;;;;;;85;R
4;1N4148W-13-F;1N4148W-13-F;SOD3716X145N;D2, D3, D4, D7;Diode Switching 100V 0.15A 2Pin SOD123 Diodes Inc 1N4148W-13-F Switching Diode, 300mA 100V, 2-Pin SOD-123;Diode Switching 100V 0.15A 2Pin SOD123 Diodes Inc 1N4148W-13-F Switching Diode, 300mA 100V, 2-Pin SOD-123;1.45mm;Diodes Inc.;1N4148W-13-F;621-1N4148W-13-F;https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/1N4148W-13-F?qs=rGAXPo9uwV24ebUy2vYvsA%3D%3D;;
2;1k;R-US_R0805;R0805;R44, R50;RESISTOR, American symbol;;;;;;;85;R
8;1u;C-EUC0805;C0805;C5, C17, C18, C30, C31, C43, C45, C47;CAPACITOR, European symbol;;;;;;;88;C
8;22k;R-US_R0805;R0805;R40, R41, R42, R43, R46, R47, R48, R49;RESISTOR, American symbol;;;;;;;85;R
1;22k;R-US_R0805;R0805;R60;RESISTOR, American symbol;;;;;;;;R
1;2N7002;2N7002;SOT96P240X120-3N;Q5;N-channel MOSFET,2N7002 0.115A 60V;N-channel MOSFET,2N7002 0.115A 60V;1.2mm;onsemi;2N7002;512-2N7002;https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/2N7002?qs=0dwsXDNhqlz66WJJhrTFjQ%3D%3D;;
10;2k2;R-US_R0805;R0805;R7, R18, R29, R54, R55, R56, R57, R58, R59, R61;RESISTOR, American symbol;;;;;;;85;R
3;33k;R-US_R0805;R0805;R10, R21, R32;RESISTOR, American symbol;;;;;;;85;R
6;3n3;C-EUC0805;C0805;C11, C12, C24, C25, C37, C38;CAPACITOR, European symbol;;;;;;;88;C
2;47p;C-EUC0805;C0805;C2, C4;CAPACITOR, European symbol;;;;;;;88;C
7;47u;C-EUC0805;C0805;C7, C20, C33, C50, C58, C59, C60;CAPACITOR, European symbol;;;;;;;88;C
1;47u;CPOL-USE2.5-6;E2,5-6;C49;POLARIZED CAPACITOR, American symbol;;;;;;;14;C
3;4k7;R-US_R0805;R0805;R17, R28, R39;RESISTOR, American symbol;;;;;;;85;R
6;4n7;C-EUC0805;C0805;C6, C15, C19, C28, C32, C41;CAPACITOR, European symbol;;;;;;;88;C
3;68k;R-US_R0805;R0805;R9, R20, R31;RESISTOR, American symbol;;;;;;;85;R
1;ATTINY841-SSU;ATTINY841-SSU;SOIC127P600X175-14N;IC1;MCU 8-bit ATtiny AVR 8KB Flash Atmel ATTINY841-SSU, 8bit AVR Microcontroller, 16MHz, 8 kB Flash, 14-Pin SOIC;MCU 8-bit ATtiny AVR 8KB Flash Atmel ATTINY841-SSU, 8bit AVR Microcontroller, 16MHz, 8 kB Flash, 14-Pin SOIC;1.75mm;Microchip;ATTINY841-SSU;556-ATTINY841-SSU;https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Atmel/ATTINY841-SSU?qs=HVbQlW5zcXVaBIh573n%252Bhw%3D%3D;;
2;B10k;9MM.1;9MM_METAL_SHAFT;DEPTH, SPEED;9mm Potentiometers;;;;;;;;
1;B5817WS-TP;B5817WS-TP;SOD2512X115N;D1;Schottky Diodes & Rectifiers 20V,1A;Schottky Diodes & Rectifiers 20V,1A;1.15mm;Micro Commercial Components (MCC);B5817WS-TP;833-B5817WS-TP;https://www.mouser.co.uk/ProductDetail/Micro-Commercial-Components-MCC/B5817WS-TP?qs=SdqRYZZ9IxCAZAlW9BKhPg%3D%3D;;
1;LED.3;LED.3;3MM_2;D6;LEDs, all sizes;;;;;;;;
1;MMBT3904;MMBT3904;SOT95P240X120-3N;Q4;Transistor GP BJT NPN 40V 0.2A SOT23 Fairchild MMBT3904 NPN Bipolar Transistor, 0.2 A, 40 V, 3-Pin SOT-23;Transistor GP BJT NPN 40V 0.2A SOT23 Fairchild MMBT3904 NPN Bipolar Transistor, 0.2 A, 40 V, 3-Pin SOT-23;1.2mm;onsemi;MMBT3904;512-MMBT3904;https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/MMBT3904?qs=UMEuL5FsraCg3xKjS4uBJQ%3D%3D;;
3;MMBT5088LT1G;MMBT5088LT1G;SOT95P237X111-3N;Q1, Q2, Q3;ON Semi MMBT5088LT1G NPN Bipolar Transistor, 50 mA, 30 V, 3-Pin SOT-23;ON Semi MMBT5088LT1G NPN Bipolar Transistor, 50 mA, 30 V, 3-Pin SOT-23;1.11mm;ON Semiconductor;MMBT5088LT1G;863-MMBT5088LT1G;https://www.mouser.co.uk/ProductDetail/onsemi/MMBT5088LT1G?qs=HVbQlW5zcXW4Her9wnPvIg%3D%3D;;
2;TL072D;TL072D;SO08;IC2, IC3;OP AMP;;;;;;;0;
4;TS78L05CX_RFG;TS78L05CX_RFG;SOT95P280X130-3N;IC8, IC9, IC10, IC11;TAIWAN SEMICONDUCTOR - TS78L05CX RFG - REG 3-TERMINAL 100MA, SMD, SOT-23-3;TAIWAN SEMICONDUCTOR - TS78L05CX RFG - REG 3-TERMINAL 100MA, SMD, SOT-23-3;1.3mm;Taiwan Semiconductor;TS78L05CX RFG;821-TS78L05CXRFG;https://www.mouser.co.uk/ProductDetail/Taiwan-Semiconductor/TS78L05CX-RFG?qs=QEzMiVqgwc0tMcW799RpJg%3D%3D;;
